"도라산","내국인","여자",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"도라산","외국인","남자",0,0,0,0,0,0,0,1,19,18,35,14,3,1,8,0,3,0,11,1,8,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"도라산","외국인","여자",0,0,0,0,0,0,0,1,10,1,18,8,0,0,1,1,3,0,5,1,3,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"감천","내국인","남자",3,4,97,84,94,67,70,35,62,65,53,51,65,60,72,50,69,55,210,173,107,60,56,43,46,66,44,55,42,48,53,59,45,45,92,151,54,98,64,82,48,30
"감천","내국인","여자",0,0,1,1,0,0,0,0,0,3,0,0,1,2,1,1,0,0,1,1,1,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"감천","외국인","남자",10,4,60,126,117,166,175,140,83,88,50,75,43,40,28,24,29,16,77,50,9,14,7,20,7,28,15,14,14,27,8,50,5,24,41,125,18,47,8,69,5,9
"감천","외국인","여자",0,0,2,5,2,5,8,10,1,1,0,1,0,1,1,0,1,0,3,0,-,-,1,0,0,0,0,0,0,2,0,0,0,1,1,5,1,2,0,0,0,0
"김포공항","내국인","남자",28,37,825,1229,1145,1621,2105,2227,2484,3062,4284,4464,4889,4209,5157,5384,7478,5897,20132,17282,6782,5671,6572,5483,6274,6296,5789,5427,5630,4916,5715,5070,5367,4464,4657,2000,3,17,330,654,2792,2794
"김포공항","내국인","여자",29,56,892,1644,1403,2115,2202,3038,2978,4091,4640,5826,5703,5933,6757,7567,9782,7277,24736,22111,7895,6415,6875,6244,6454,6809,6333,6183,5704,5586,6201,5744,5585,4922,4497,1514,6,8,417,757,3046,3045
"김포공항","외국인","남자",25,57,703,992,654,973,517,1020,587,798,775,1063,923,1551,1295,1499,2107,2742,6193,8112,2990,2692,2789,3330,2499,3497,2362,2932,1980,3338,2533,3065,1761,3348,904,2109,0,3,168,231,2080,1825
"김포공항","외국인","여자",11,26,303,385,370,395,416,529,586,643,994,878,1056,1318,1710,1469,2938,2741,8148,8555,3480,3719,3492,4166,3548,4250,3296,3887,2907,4544,3222,4174,2842,4714,1159,3016,0,5,361,342,3361,2792
"고성","내국인","남자",0,0,0,0,0,0,5,8,0,0,0,0,3,1,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"고성","내국인","여자",0,0,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"고성","외국인","남자",3,1,0,0,0,0,13,10,31,24,12,4,0,0,1,0,0,0,1,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"고성","외국인","여자",0,0,0,0,0,0,15,11,46,15,15,3,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"인천공항","내국인","남자",102093,125215,105204,134224,115751,149303,131321,164182,141105,172152,152644,169465,156396,145609,145965,150172,149233,151081,443102,452870,145652,151941,145019,140468,138858,138947,136025,132641,132564,125305,134600,122582,130763,119872,215308,103601,108753,112505,98654,133287,97746,113276
"인천공항","내국인","여자",106827,138674,109738,147222,121853,161084,134263,174412,144269,178329,154104,172990,155340,148251,148001,156301,148994,151129,437507,452298,137220,141817,130075,134910,124534,135295,124538,132421,121114,130748,132624,127123,126055,126747,192236,80683,79094,98314,86959,130722,95233,118599
"인천공항","외국인","남자",85643,81678,86848,75996,126932,144938,146542,89168,137054,75387,142198,104242,105697,117883,136716,89995,147431,99311,429316,320930,175105,117888,194067,115103,170986,130335,186190,140489,210162,151742,229397,160929,189463,186041,107974,177105,106143,138749,220602,124034,238300,148900
"인천공항","외국인","여자",54732,52410,62978,47702,87119,84737,99911,56476,112276,51843,114242,70362,97197,83405,118154,73782,117704,77592,349153,248427,134839,98025,155384,103756,143525,109977,153157,115002,174969,124441,189754,130711,163755,155902,111761,140424,111261,112458,172332,106797,181388,130769
"인천","내국인","남자",1675,1683,2224,2713,2760,3449,3227,3558,2249,2037,2492,1733,1924,1063,1578,1276,1433,1192,4285,3326,884,608,615,499,748,717,858,920,776,842,266,192,219,105,121,48,4,2,1,5,11,10
"인천","내국인","여자",887,1084,1267,1907,1881,2520,2231,2554,1381,1345,1595,1322,1292,771,982,847,950,920,2792,2471,593,443,413,396,275,244,261,168,225,156,166,136,144,99,63,23,0,0,0,0,10,1
"인천","외국인","남자",7834,2832,7291,3748,12472,7610,20663,7308,14804,5787,11724,9421,6463,6457,8630,6186,9327,7658,25497,23713,10022,8817,8411,6221,5713,3735,4522,4543,4012,4316,4294,4030,2899,4318,206,2024,4,14,4,8,243,76
"인천","외국인","여자",3857,2126,3835,2082,6264,3991,10105,4096,8768,3162,8236,5573,4203,3711,5309,3837,5918,4912,15880,14878,5504,6947,5173,3906,3710,2487,3281,4689,2519,2904,2724,2474,1889,2758,175,1096,0,0,0,0,95,35
"제주서귀포항","내국인","남자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
"제주서귀포항","내국인","여자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0
"제주서귀포항","외국인","남자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,2
"제주서귀포항","외국인","여자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
"거제","내국인","남자",1,13,3,3,3,4,172,134,35,88,26,38,23,35,21,27,16,78,56,149,27,3,3,4,4,66,17,12,15,10,6,1,0,0,2,15,0,6,3,2,2,13
"거제","내국인","여자",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-,-,-,-,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2
"거제","외국인","남자",4,76,9,163,5,169,4,134,2,49,7,77,25,125,2,125,1,143,6,454,0,86,1,119,0,138,2,52,2,220,1,200,1,32,0,87,1,95,1,18,0,4
"거제","외국인","여자",0,0,0,3,0,3,0,2,0,1,0,0,0,1,0,0,0,1,0,3,-,-,0,3,0,2,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
"김해(김해공항)","내국인","남자",8839,9964,8020,10575,9482,13443,11064,14250,12168,15716,14288,16148,13780,13655,11747,13211,12574,13230,39499,41602,16538,16782,17240,15631,16000,15028,16759,15928,17307,15523,17737,15413,17222,14783,9318,4292,363,330,2605,3309,8884,8976
"김해(김해공항)","내국인","여자",7754,9832,7882,10597,9173,13044,10897,14238,11600,14512,12668,14691,12122,13036,11008,12667,11583,11955,35260,37389,13698,13811,13521,12785,12168,12366,13405,13097,13361,12943,14768,12719,13824,12734,7373,2987,99,107,1538,2207,6373,6860
"김해(김해공항)","외국인","남자",3492,4577,3622,6344,4422,7966,5257,5612,7005,5603,7346,8407,5793,9595,5617,7940,5841,10038,17906,32983,8119,14428,9985,13749,11481,18633,12794,20786,15255,21686,16588,21841,23189,24066,3603,10164,1532,1998,5854,4833,18315,12422
"김해(김해공항)","외국인","여자",3049,2627,3532,2881,4484,3616,5779,2784,7448,3262,8191,4155,6945,4986,8072,5117,8457,6196,26893,19040,11132,9036,12139,9980,13650,12581,15532,14919,17495,16273,18438,17328,27848,19623,4092,8330,1481,1558,6911,4596,17574,12343
"광주","내국인","남자",85,114,174,230,166,230,272,274,232,253,46,53,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주","내국인","여자",53,104,145,218,158,262,230,272,250,271,67,76,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주","외국인","남자",98,65,63,58,67,112,219,139,238,122,66,10,1,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
"광주","외국인","여자",47,24,59,55,72,88,286,94,327,90,51,20,1,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"군산","내국인","남자",27,37,15,28,184,103,221,227,177,118,209,147,250,150,105,59,138,103,328,418,24,3,76,11,29,3,7,3,27,4,40,27,26,10,70,1,1,0,1,1,1,11
"군산","내국인","여자",13,24,5,10,69,43,26,43,33,7,31,7,19,1,14,24,22,13,48,105,8,5,25,2,9,0,2,4,4,2,9,0,8,1,34,0,0,0,0,0,2,0
"군산","외국인","남자",41,135,23,89,98,143,265,281,260,75,250,92,87,107,61,206,110,318,254,883,77,206,74,75,45,229,81,87,114,239,51,62,64,82,8,26,0,29,6,2,5,9
"군산","외국인","여자",27,35,6,42,100,98,173,84,185,38,155,43,95,51,64,96,95,104,218,375,60,102,90,61,39,39,72,28,74,53,62,36,62,25,9,12,0,0,0,0,4,7
"광양","내국인","남자",7,0,5,0,1,7,2,1,0,5,0,9,2,0,0,4,91,9,96,18,6,1,12,2,4,1,0,0,5,1,0,6,19,7,16,51,51,3,0,0,1,0
"광양","내국인","여자",1,0,1,2,0,0,1,1,0,1,2,1,0,1,2,0,108,7,110,7,-,-,1,4,2,1,0,1,1,1,0,0,1,0,0,4,2,0,0,0,0,0
"광양","외국인","남자",17,29,3,68,19,67,7,13,13,12,12,27,10,13,9,22,5,12,16,44,0,7,0,3,1,7,1,0,0,7,1,0,5,4,5,9,3,26,1,9,10,4
"광양","외국인","여자",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"무안공항","내국인","남자",0,0,0,0,0,0,0,0,15,4,160,97,111,68,95,90,134,104,352,278,125,103,148,84,120,98,125,93,111,53,157,72,544,270,237,48,0,0,2,2,51,4
"무안공항","내국인","여자",0,0,0,0,0,0,0,0,15,6,187,117,122,77,89,79,114,109,327,300,114,112,116,93,133,109,154,122,99,41,159,59,418,210,178,14,0,0,3,0,26,1
"무안공항","외국인","남자",0,0,0,0,0,0,0,0,23,15,251,90,49,40,29,58,44,55,173,178,108,85,102,72,159,110,274,214,99,124,53,464,161,1072,15,182,0,0,0,1,77,31
"무안공항","외국인","여자",0,0,0,0,0,0,0,0,15,9,253,104,59,44,52,39,80,45,243,134,127,86,157,74,159,103,187,91,76,51,86,400,200,974,38,207,0,1,0,2,53,64
"목포","내국인","남자",29,31,9,3,6,4,33,32,10,40,5,16,20,45,17,13,1,3,20,16,10,10,15,25,9,24,1,16,3,1,0,7,2,5,8,15,20,5,5,11,0,1
"목포","내국인","여자",23,12,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-,-,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"목포","외국인","남자",21,43,9,69,2,49,7,81,4,27,5,26,3,53,47,22,3,12,52,44,1,2,0,15,15,9,41,27,0,90,0,10,1,11,0,14,1,33,0,9,1,3
"목포","외국인","여자",5,18,0,2,1,1,2,6,1,0,0,0,0,0,55,0,0,1,55,3,4,0,5,4,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"마산(창원)","내국인","남자",1333,928,1537,704,670,625,1104,1030,889,976,249,523,985,1304,1232,1290,618,615,2494,3116,585,655,891,1222,3,601,1105,628,1293,580,540,592,1233,603,1417,18,345,86,1245,447,651,411
"마산(창원)","내국인","여자",24,24,45,15,27,27,25,20,19,21,0,5,22,25,27,33,25,27,72,101,25,26,44,64,0,32,47,26,53,29,14,30,54,31,58,0,11,3,66,43,44,43
"마산(창원)","외국인","남자",14,35,24,93,29,88,67,99,24,47,8,28,16,29,9,20,15,166,24,194,9,11,3,43,0,9,5,25,4,9,2,10,11,58,6,56,0,31,1,23,4,9
"마산(창원)","외국인","여자",1,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,-,-,-,-,0,0,0,0,1,1,0,0,2,1,0,3,1,1,0,1,0,3
"오산","내국인","남자",4,0,11,13,0,2,0,1,1,4,4,0,2,0,6,12,1,4,20,33,9,13,10,11,8,17,8,24,14,16,6,35,8,20,12,18,18,16,14,19,21,21
"오산","내국인","여자",40,58,26,49,21,37,2,7,3,12,1,5,4,1,13,42,28,67,103,195,57,73,62,61,49,76,65,94,54,92,53,104,52,76,61,72,74,83,74,65,74,67
"오산","외국인","남자",598,979,306,1375,171,967,47,316,36,302,33,274,37,208,116,409,268,663,896,2156,457,668,481,685,603,1130,261,660,199,2032,327,493,99,391,184,733,23,409,246,738,644,790
"오산","외국인","여자",169,312,214,339,121,268,15,75,18,53,30,77,14,84,111,266,343,397,1241,1285,792,693,766,678,993,745,319,675,288,640,411,303,106,296,48,291,20,227,433,264,1207,272
"포항","내국인","남자",2,3,1,1,20,2,4,12,4,0,5,2,12,8,4,4,97,12,105,19,14,6,8,27,0,0,33,27,38,54,1,4,5,0,2,0,1,0,3,14,3,3
"포항","내국인","여자",0,1,1,2,1,0,1,1,4,2,0,1,1,1,1,0,2,1,3,1,0,1,1,1,0,0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,1,0
"포항","외국인","남자",3,31,7,72,27,29,14,16,31,30,11,11,14,38,8,25,10,7,19,33,2,1,-,-,1,0,5,8,5,556,2,0,2,1,2,0,0,5,8,9,0,11
"포항","외국인","여자",0,2,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,2,2,0,-,-,0,0,0,0,2,50,0,0,0,0,0,0,0,0,2,3,0,0
"판문점","내국인","남자",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"판문점","내국인","여자",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
